COPY 2610
ma,table_name,column_name,ordinal_position,data_type,is_nullable,column_default
public,MMAPSite2013,ARTRANGE,51,real,YES,
public,MMAPSite2013,ARTDENSE,52,real,YES,
public,MMAPSite2013,DIMENA,53,real,YES,
public,MMAPSite2013,DIMENB,54,real,YES,
public,MMAPSite2013,ESTDEPTH,55,text,YES,
public,MMAPSite2013,SITE_NUM,56,text,YES,
public,MMAPSite2013,RIVER_TEAM,57,text,YES,
public,MMAPSite2013,SITE_DATE,58,text,YES,
public,MMAPSite2013,EROSION,59,real,YES,
public,MMAPSite2013,HIST_VILL,60,real,YES,
public,MMAPSite2013,PANORAMA,61,real,YES,
public,MMAPSite2013,GARDEN,62,real,YES,
public,MMAPSite2013,EXC_PRI,63,text,YES,
public,MMAPSite2013,TIME_SPENT,64,real,YES,
public,MMAPSite2013,DUBIOUS,65,real,YES,
public,MMAPSite2013,ENTERED_BY,66,text,YES,
public,MMAPSite2013,CAVE_FL,67,text,YES,
public,MMAPSite2013,CAVEMOIST,68,text,YES,
public,MMAPSite2013,CVMTHHT,69,real,YES,
public,MMAPSite2013,IMAGENOS,70,text,YES,
public,MMAPSite2013,OTH_ART,71,text,YES,
public,MMAPSite2013,REVISITS,72,real,YES,
public,MMAPSite2013,VISIT_COMM,73,text,YES,
public,MMAPSite2013,JAR_SITE,74,real,YES,
public,MMAPSite2013,OTHER_MEG,75,real,YES,
public,MMAPSite2013,MINE_SITE,76,real,YES,
public,MMAPSite2013,RIVCOBSITE,77,real,YES,
public,MMAPSite2013,SURF_SCAT,78,real,YES,
public,MMAPSite2013,SITE_COMM,79,text,YES,
public,MMAPSite2013,SPELEO,80,real,YES,
public,MMAPSite2013,MEAN_GALL,81,real,YES,
public,MMAPSite2013,PLATFORM,82,real,YES,
public,MMAPSite2013,MOUND,83,real,YES,
public,MMAPSite2013,FEATURES,84,real,YES,
public,MMAPSite2013,STRAT,85,real,YES,
public,MMAPSite2013,UXOCL,86,real,YES,
public,MMAPSite2013,DISTCOMM,87,text,YES,
public,MMAPSite2013,CONDCOMM,88,text,YES,
public,MMAPSite2013,HISTOCC,89,real,YES,
public,MMAPSite2013,PASTFCOMM,90,text,YES,
public,MMAPSite2013,ORDNANCE,91,real,YES,
